id,guidislink,link,updated,updated_parsed,published,published_parsed,title,title_detail,summary,summary_detail,authors,author_detail,author,arxiv_doi,links,arxiv_comment,arxiv_primary_category,tags
http://arxiv.org/abs/hep-ph/0210006v1,True,http://arxiv.org/abs/hep-ph/0210006v1,2002-10-01T07:32:30Z,"time.struct_time(tm_year=2002, tm_mon=10, tm_mday=1, tm_hour=7, tm_min=32, tm_sec=30, tm_wday=1, tm_yday=274, tm_isdst=0)",2002-10-01T07:32:30Z,"time.struct_time(tm_year=2002, tm_mon=10, tm_mday=1, tm_hour=7, tm_min=32, tm_sec=30, tm_wday=1, tm_yday=274, tm_isdst=0)","Transverse spin effects in proton-proton scattering and $Q \bar Q$
  production","{'type': 'text/plain', 'language': None, 'base': '', 'value': 'Transverse spin effects in proton-proton scattering and $Q \\bar Q$\n  production'}","We discuss transverse spin effects caused by the spin-flip part of the
Pomeron coupling with the proton. The predicted spin asymmetries in
proton-proton scattering and QQ production in proton-proton and lepton-proton
reactions are not small and can be studied in future polarized experiments.","{'type': 'text/plain', 'language': None, 'base': '', 'value': 'We discuss transverse spin effects caused by the spin-flip part of the\nPomeron coupling with the proton. The predicted spin asymmetries in\nproton-proton scattering and QQ production in proton-proton and lepton-proton\nreactions are not small and can be studied in future polarized experiments.'}",[{'name': 'S. V. Goloskokov'}],{'name': 'S. V. Goloskokov'},S. V. Goloskokov,,"[{'title': 'doi', 'href': 'http://dx.doi.org/10.1063/1.1607179', 'rel': 'related', 'type': 'text/html'}, {'href': 'http://arxiv.org/abs/hep-ph/0210006v1', 'rel': 'alternate', 'type': 'text/html'}, {'title': 'pdf', 'href': 'http://arxiv.org/pdf/hep-ph/0210006v1', 'rel': 'related', 'type': 'application/pdf'}]","5 pages, latex, 3 figures, presented at 15th International Spin
  Physics Symposium, Brookhaven National Laboratory, September 9-14, 2002","{'term': 'hep-ph', 'scheme': 'http://arxiv.org/schemas/atom'}","[{'term': 'hep-ph', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
http://arxiv.org/abs/1501.03381v1,True,http://arxiv.org/abs/1501.03381v1,2015-01-14T15:59:19Z,"time.struct_time(tm_year=2015, tm_mon=1, tm_mday=14, tm_hour=15, tm_min=59, tm_sec=19, tm_wday=2, tm_yday=14, tm_isdst=0)",2015-01-14T15:59:19Z,"time.struct_time(tm_year=2015, tm_mon=1, tm_mday=14, tm_hour=15, tm_min=59, tm_sec=19, tm_wday=2, tm_yday=14, tm_isdst=0)","Open charm production in high multiplicity proton-proton events at the
  LHC","{'type': 'text/plain', 'language': None, 'base': '', 'value': 'Open charm production in high multiplicity proton-proton events at the\n  LHC'}","We present the dependence of $D$ production on the charged particle
multiplicity in proton-proton collisions at LHC energies. We show that, in a
framework of source coherence, the open charm production exhibits a growth with
the multiplicity which is stronger than linear in the high density domain. This
departure from linearity was previously observed in the $J/\psi$ inclusive data
from proton-proton collisions at 7 TeV and was successfully described in our
approach. Our assumption, the existence of coherence effects present in
proton-proton collisions at high energy, applies for high multiplicity
proton-proton collisions in the central rapidity region and should affect any
hard observable.","{'type': 'text/plain', 'language': None, 'base': '', 'value': 'We present the dependence of $D$ production on the charged particle\nmultiplicity in proton-proton collisions at LHC energies. We show that, in a\nframework of source coherence, the open charm production exhibits a growth with\nthe multiplicity which is stronger than linear in the high density domain. This\ndeparture from linearity was previously observed in the $J/\\psi$ inclusive data\nfrom proton-proton collisions at 7 TeV and was successfully described in our\napproach. Our assumption, the existence of coherence effects present in\nproton-proton collisions at high energy, applies for high multiplicity\nproton-proton collisions in the central rapidity region and should affect any\nhard observable.'}","[{'name': 'E. G. Ferreiro'}, {'name': 'C. Pajares'}]",{'name': 'C. Pajares'},C. Pajares,,"[{'href': 'http://arxiv.org/abs/1501.03381v1', 'rel': 'alternate', 'type': 'text/html'}, {'title': 'pdf', 'href': 'http://arxiv.org/pdf/1501.03381v1', 'rel': 'related', 'type': 'application/pdf'}]","7 pages, 2 figures","{'term': 'hep-ph', 'scheme': 'http://arxiv.org/schemas/atom'}","[{'term': 'hep-ph', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}, {'term': 'nucl-th', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
http://arxiv.org/abs/0911.4847v1,True,http://arxiv.org/abs/0911.4847v1,2009-11-25T13:36:31Z,"time.struct_time(tm_year=2009, tm_mon=11, tm_mday=25, tm_hour=13, tm_min=36, tm_sec=31, tm_wday=2, tm_yday=329, tm_isdst=0)",2009-11-25T13:36:31Z,"time.struct_time(tm_year=2009, tm_mon=11, tm_mday=25, tm_hour=13, tm_min=36, tm_sec=31, tm_wday=2, tm_yday=329, tm_isdst=0)","Difference in multiplicity distributions in proton-proton and
  proton-antiproton collisions at high energies","{'type': 'text/plain', 'language': None, 'base': '', 'value': 'Difference in multiplicity distributions in proton-proton and\n  proton-antiproton collisions at high energies'}","Secondary charged hadrons multiplicity distributions in proton-proton and
proton-antiproton collisions differ on principle. There are three types of
inelastic processes in proton-antiproton scattering. The first type is
production of secondary hadrons shower at gluon string decay. The second type
is shower produced from two quark strings decay, the third type is shower
produced from three quark strings decay. At the same time there are only two
types of inelastic processes for proton-proton scattering - gluon string shower
and two quark strings shower. Theoretical description of multiplicity
distributions is obtained for proton-proton collisions at energies from 44.5
GeV to 200 GeV and for proton-antiproton collisions at energies from 200 GeV to
1800 GeV. The difference between proton-proton and proton-antiproton
multiplicity distributions is discussed. The predictions of multiplicity
distribution and mean multiplicity at LHC energy are given.","{'type': 'text/plain', 'language': None, 'base': '', 'value': 'Secondary charged hadrons multiplicity distributions in proton-proton and\nproton-antiproton collisions differ on principle. There are three types of\ninelastic processes in proton-antiproton scattering. The first type is\nproduction of secondary hadrons shower at gluon string decay. The second type\nis shower produced from two quark strings decay, the third type is shower\nproduced from three quark strings decay. At the same time there are only two\ntypes of inelastic processes for proton-proton scattering - gluon string shower\nand two quark strings shower. Theoretical description of multiplicity\ndistributions is obtained for proton-proton collisions at energies from 44.5\nGeV to 200 GeV and for proton-antiproton collisions at energies from 200 GeV to\n1800 GeV. The difference between proton-proton and proton-antiproton\nmultiplicity distributions is discussed. The predictions of multiplicity\ndistribution and mean multiplicity at LHC energy are given.'}",[{'name': 'N. V. Radchenko'}],{'name': 'N. V. Radchenko'},N. V. Radchenko,,"[{'href': 'http://arxiv.org/abs/0911.4847v1', 'rel': 'alternate', 'type': 'text/html'}, {'title': 'pdf', 'href': 'http://arxiv.org/pdf/0911.4847v1', 'rel': 'related', 'type': 'application/pdf'}]","Talk given at ISMD 2009 conference 5 pages, 9 figures","{'term': 'hep-ph', 'scheme': 'http://arxiv.org/schemas/atom'}","[{'term': 'hep-ph', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
http://arxiv.org/abs/hep-ph/0004232v1,True,http://arxiv.org/abs/hep-ph/0004232v1,2000-04-25T20:53:55Z,"time.struct_time(tm_year=2000, tm_mon=4, tm_mday=25, tm_hour=20, tm_min=53, tm_sec=55, tm_wday=1, tm_yday=116, tm_isdst=0)",2000-04-25T20:53:55Z,"time.struct_time(tm_year=2000, tm_mon=4, tm_mday=25, tm_hour=20, tm_min=53, tm_sec=55, tm_wday=1, tm_yday=116, tm_isdst=0)","Extending the Frontiers - Reconciling Accelerator and Cosmic Ray p-p
  Cross Sections","{'type': 'text/plain', 'language': None, 'base': '', 'value': 'Extending the Frontiers - Reconciling Accelerator and Cosmic Ray p-p\n  Cross Sections'}","We simultaneously fit a QCD-inspired parameterization of all accelerator data
on forward proton-proton and antiproton-proton scattering amplitudes, together
with cosmic ray data (using Glauber theory), to predict proton-air and
proton-proton cross sections at energies near \sqrt s \approx 30 TeV. The p-air
cosmic ray measurements provide a strong constraint on the inclusive particle
production cross section, as well as greatly reducing the errors on the fit
parameters---in turn, greatly reducing the errors in the high energy
proton-proton and proton-air cross section predictions.","{'type': 'text/plain', 'language': None, 'base': '', 'value': 'We simultaneously fit a QCD-inspired parameterization of all accelerator data\non forward proton-proton and antiproton-proton scattering amplitudes, together\nwith cosmic ray data (using Glauber theory), to predict proton-air and\nproton-proton cross sections at energies near \\sqrt s \\approx 30 TeV. The p-air\ncosmic ray measurements provide a strong constraint on the inclusive particle\nproduction cross section, as well as greatly reducing the errors on the fit\nparameters---in turn, greatly reducing the errors in the high energy\nproton-proton and proton-air cross section predictions.'}","[{'name': 'M. M. Block'}, {'name': 'F. Halzen'}, {'name': 'T. Stanev'}]",{'name': 'T. Stanev'},T. Stanev,,"[{'title': 'doi', 'href': 'http://dx.doi.org/10.1103/PhysRevD.62.077501', 'rel': 'related', 'type': 'text/html'}, {'href': 'http://arxiv.org/abs/hep-ph/0004232v1', 'rel': 'alternate', 'type': 'text/html'}, {'title': 'pdf', 'href': 'http://arxiv.org/pdf/hep-ph/0004232v1', 'rel': 'related', 'type': 'application/pdf'}]","6 pages, Latex, uses epsfig.sty, 5 postscript figures","{'term': 'hep-ph', 'scheme': 'http://arxiv.org/schemas/atom'}","[{'term': 'hep-ph', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
http://arxiv.org/abs/nucl-th/0308034v1,True,http://arxiv.org/abs/nucl-th/0308034v1,2003-08-11T22:58:27Z,"time.struct_time(tm_year=2003, tm_mon=8, tm_mday=11, tm_hour=22, tm_min=58, tm_sec=27, tm_wday=0, tm_yday=223, tm_isdst=0)",2003-08-11T22:58:27Z,"time.struct_time(tm_year=2003, tm_mon=8, tm_mday=11, tm_hour=22, tm_min=58, tm_sec=27, tm_wday=0, tm_yday=223, tm_isdst=0)","Cross sections for pentaquark baryon production from protons in
  reactions induced by hadrons and photons","{'type': 'text/plain', 'language': None, 'base': '', 'value': 'Cross sections for pentaquark baryon production from protons in\n  reactions induced by hadrons and photons'}","Using hadronic Lagrangians that include the interaction of pentaquark
$\Theta^+$ baryon with $K$ and $N$, we evaluate the cross sections for its
production from meson-proton, proton-proton, and photon-proton reactions near
threshold. With empirical coupling constants and form factors, the predicted
cross sections are about 1.5 mb in kaon-proton reactions, 0.1 mb in rho-nucleon
reactions, 0.05 mb in pion-nucleon reactions, 20 $\mu$b in proton-proton
reactions, and 40 nb in photon-proton reactions.","{'type': 'text/plain', 'language': None, 'base': '', 'value': 'Using hadronic Lagrangians that include the interaction of pentaquark\n$\\Theta^+$ baryon with $K$ and $N$, we evaluate the cross sections for its\nproduction from meson-proton, proton-proton, and photon-proton reactions near\nthreshold. With empirical coupling constants and form factors, the predicted\ncross sections are about 1.5 mb in kaon-proton reactions, 0.1 mb in rho-nucleon\nreactions, 0.05 mb in pion-nucleon reactions, 20 $\\mu$b in proton-proton\nreactions, and 40 nb in photon-proton reactions.'}","[{'name': 'W. Liu'}, {'name': 'C. M. Ko'}]",{'name': 'C. M. Ko'},C. M. Ko,,"[{'title': 'doi', 'href': 'http://dx.doi.org/10.1103/PhysRevC.68.045203', 'rel': 'related', 'type': 'text/html'}, {'href': 'http://arxiv.org/abs/nucl-th/0308034v1', 'rel': 'alternate', 'type': 'text/html'}, {'title': 'pdf', 'href': 'http://arxiv.org/pdf/nucl-th/0308034v1', 'rel': 'related', 'type': 'application/pdf'}]","14 pages, 7 figures","{'term': 'nucl-th', 'scheme': 'http://arxiv.org/schemas/atom'}","[{'term': 'nucl-th', 'scheme': 'http://arxiv.org/schemas/atom', 'label': None}]"
